# English-French dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:02+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neuf
fluoridation	fluoration
fluorine	fluor
flushing	rinçage
flute	flûte
fluvial resource	ressources fluviales
fly ash	cendre volante
foaming agent	agent moussant
fodder ; provender ; forage	fourrage
fodder plant	plante fourragère
fog	brouillard
foliage	feuillage
folk tradition	tradition populaire
folklore	folklore
food	aliment
food additive	additifs alimentaires et colorants
food chain	chaîne alimentaire
food commerce	commerce d'alimentation
food contamination	contamination des denrées alimentaires
food hygiene	hygiène alimentaire
food industry	industrie alimentaire
food irradiation	irradiation des aliments
food pollutant	contaminant alimentaire
food preservation	conservation des aliments
food processing industry	industrie alimentaire
food production (agriculture) ; food production	production alimentaire (agriculture) ; production alimentaire
food quality	qualité des denrées alimentaires
food requirement	besoins alimentaires
food science	science et technologie alimentaire
food storage	stockage des aliments
food technology	technologie alimentaire
food transport	transport alimentaire
foodstuff	produit alimentaire
foot	pied
football	football
footpath	sentier pedestre
forage contamination	contamination du fourrage
forage crop	culture fourragère
forage law	loi sur l'alimentation des animaux d'élevage
ford	gué
forecast	prévision
foreclosure	saisie
foreign	étranger
foreign economic relations	relations économiques extérieures
foreign policy	politique étrangère
foreign trade	commerce extérieur
forest	forêt
forest biological reserve	réserve biologique forestière
forest cover destruction	réduction de la surface boisée
forest damage	dégâts forestiers
forest deterioration	dépérissement forestier
forest ecology	écologie forestière
forest ecosystem	ecosystème forestier
forest exploitation	exploitation forestière
forest fire	incendie de forêt ; feu de forêt
forest industry	industrie forestière
forest management	gestion forestière
forest pest	déprédateur des forêts
forest policy	politique forestière
forest product	produit forestier
forest production	production forestière
forest protection	protection de la forêt
forest reserve	réserve forestière
forest resource	ressource forestière
forestry	sylviculture
forestry economics	économie forestière
forestry law	droit forestier
forestry legislation	législation forestière
forestry practice	pratique forestière
forestry unit	groupement forestier
fork	fourchette
form of government	forme de gouvernement
forwarding agent	transporteur
fossil	fossile
fossil fuel	combustible fossile
fouling growth	salissure
fountain	fontaine
four	quatre
four stroke engine	moteur à quatre temps
fracture	fracture
framework legislation	législation cadre
francium	francium
fraud	escroquerie
free movement of capital	libre circulation des capitaux
free trade	libre échange
freedom	liberté
freedom ; liberty	liberté
freedom of speech ; freedom of speech	liberté d'expression
freight transport	transport de marchandises
freon	fréon
freshwater	eau douce
freshwater degradation	dégradation des ressources en eau douce
freshwater ecosystem	écosystème d'eau douce
freshwater organism	organisme d'eau douce
freshwater pollution	pollution des eaux douces
freshwater resource	ressource en eau douce
frog	grenouille
frost	gel ; givre
fruit	fruit
fruit cultivation	culture fruitière
fruit tree	arbre fruitier
fuel	combustible
fuel additive	additif pour carburants
fuel alcohol	alcool-carburant
fuel cell	pile à combustible
fuel composition	composition des carburants
fuel consumption	consommation de combustible
fuel oil	fioul
fuel tank installation	installation de réservoir à carburant
fuel wood	bois à usage de combustible
full	plein ; bondé ; bondé
fume	fumée
fumigation	fumigation
functional substance	substance fonctionnelle
fundamental	fondamental
funeral	funérailles ; obsèques
fungicide	fongicide
fungus	champignon
fur	fourrure
fur animal	animal à fourrure
furan	furanne
furnace	four industriel
furniture	meubles
furniture industry	industrie de l'ameublement
furriery	pelleterie
gadolinium	gadolinium
gallbladder	vésicule biliaire ; cholécyste
gallinacean	gallinacé
gallium	gallium
galvanisation	galvanisation
game	jeu
game	gibier ; gibier
gamma radiation	rayonnement gamma
gangrene	gangrène
garage	garage
garden	jardin
garden waste	déchet de jardin
gardener	jardinier
gas	gaz
gas chromatography	chromatographie en phase gazeuse
gas company	compagnie du gaz
gas engine	moteur à gaz
gas liquefaction	liquéfaction de gaz
gas mixture	mélange gazeux
gas network	réseau gazier
gas pipeline	gazoduc
gas powered plant	centrale à gaz
gas purification	épuration des gaz
gas reservoir	réservoir à gaz
gas supply	alimentation en gaz
gaseous air pollutant	polluant atmosphérique gazeux
gaseous state	état gazeux
gasification	gazéification
gasohol	gazohol
gasoline engine	moteur à essence
gastrointestinal tract ; alimentary canal	système gastro-intestinal
gastropod	gastéropode
gaswork	usine à gaz
gene	gène
genealogy	généalogie
general	général
general administrative order	instruction administrative générale
general chemistry	chimie générale
general education	enseignement général
genetic diversity	diversité génétique
genetic effect	effet génétique
genetic engineering	génie génétique
genetic engineering legislation	législation en matière de génie génétique
genetic information	information génétique
genetic modification	modification génétique
genetic pool ; gene pool	patrimoine génétique
genetic resource	ressource génétique
genetic variation	variation génétique
genetically modified organism	organisme génétiquement modifié
genetics	génétique
genocide	génocide
genome	génome
genotoxicity	génotoxicité
genotype	génotype
geo-referenced data	données géoréférencées
geo-referenced information	informations géoréférencées
geodesy	géodésie
geogenic factor	facteur géogénique
geographic information system	système d'information géographique
geographical distribution of population	répartition géographique de la population
geographical projection	projection géographique
geography	géographie
geological disaster	désastre géologique
geological process	processus géologique
geology	géologie
geometric correction	correction géométrique
geometry	géométrie
geomorphic process	processus géomorphologique
geomorphology	géomorphologie
geophysical environment	milieu géophysique
geophysics	géophysique
geotechnics	géotechnique
geotechnology	géotechnologie
geothermal energy	énergie géothermique
geranium	géranium
germ	germe
germ plasm	protoplasme des germes
germanium	germanium
germination	germination
geyser	geyser
giraffe	girafe
girl	fille
glacier	glacier
glaciology	glaciologie
gland	gland ; glande
glass	verre
glass industry	industrie du verre
glasses ; spectacles	lunettes
glaucoma	glaucome
glaze	verglas
global aspect	aspect global
global convention	convention internationale
global model	modèle global
global warming	réchauffement mondial ; réchauffement climatique ; réchauffement planétaire ; réchauffement global
glossary	glossaire
glue	colle
glycolysis	glycolyse
go	aller
goal of individual economic business	objectifs des entreprises
gold	or
golf	golf
gong	gong
gonorrhea	blennorragie ; gonorrhée
good evening	bonsoir
good management	bonne gestion
goods	biens
goods and services	biens et services
goose	oie
gorilla	gorille
government (cabinet)	gouvernement
government advisory body	organe de conseil auprès du gouvernement
government building	édifice gouvernemental
government liability	responsabilité gouvernementale
government policy	politique gouvernementale
governor	gouverneur
grain	céréale
graminaceous plant	graminée
grammer ; grammar	grammaire
grandchild	petit-enfant
grandfather	grand-père ; aïeul
grandson	petit-fils
granite	granite
granulometry	granulométrie
grape	raisin
grass	herbe
grass fire	feu de prairie
grasshopper	sauterelle
grassland	prairie
gravel	gravier
gravel extraction	extraction de gravier
gravel pit	gravière
graviton	graviton
grazing	pâturage
green building	construction "verte"
green corridor	coulée verte
green manure	engrais vert
green revolution	révolution verte
green space	espace vert
green tide	marée verte
green vegetable	légume vert
greenhouse cultivation	horticulture en serre
greenhouse effect	effet de serre
greenhouse gas	gaz à effet de serre
gridding	maillage
grinding	broyage
gross national product	produit national brut
groundwater	eaux souterraines
groundwater endangering	risque pour les eaux souterraines
groundwater extraction	puisage des eaux souterraines
groundwater pollution	pollution des eaux souterraines
groundwater protection	protection des réserves d'eau souterraines
groundwater quality	qualité des eaux souterraines
group behaviour	comportement collectif
guillotine ; guillotine ; guillotine	guillotine
guinea pig	cobaye ; cochon d'Inde
guitar	guitare
gulf	golfe
gull	goéland
gymnosperm	gymnosperme
gypsum	gypse
habitat	habitat
habitat destruction	destruction de l'habitat
haematology	hématologie
haemorrhage ; bleeding	hémorragie
hafnium	hafnium
haiku	haïku
hail	grêle
hair	cheveu ; poil ; chevelure ; pelage
hairdresser ; barber	coiffeur
half-life	demi-vie
haloform	haloforme
halogenated biphenyl	biphényles halogénés
halogenated compound	composé halogéné
halogenated hydrocarbon	hydrocarbure halogéné
halogenated phenol	phenol halogéné
halogenated pollutant	polluant halogéné
handicraft	artisanat d'art
handicraft business	entreprise artisanale
handkerchief	mouchoir
harbour	port
hard disk drive ; hard disk ; HD	disque dur
hard-to-dispose-of waste	déchet encombrant
hardness	dureté
harem	harem
harmonisation of law	harmonisation des lois
harpoon	harpon
harvest	récolte
hassium	hassium
hate ; hatred	haine
hazard	danger
hazard area	zone à risque
hazard of pollutants	risque dû aux polluants
hazardous chemical export	exportation de produits chimiques dangereux
hazardous substance	matière dangereuse
hazardous substances legislation	législation des matières dangereuses
hazardous waste	déchets dangereux
hazardous waste dump	décharge de déchets dangereux
hazardous working material	substance dangereuse à manipuler
haze	brume
he	il
head	tête
headland	cap
headland	fourrière
health	santé
health care	soins de santé
health care profession	profession de la santé
health effect of noise	bruit et santé
health facility	institution sanitaire
health hazard	risque pour la santé
health legislation	législation sanitaire
health regulation	réglementation sanitaire
health service	service de santé
health-environment relationship	relation santé-environnement
health-related biotechnology	biotechnologie à but médical
hearing	audition
hearing acuity	acuité auditive
hearing impairment	trouble de l'audition
hearing procedure	procédure d'audition
hearing protection	protection de l'ouïe
hearing system	système auditif
heart	cœur
heat	chaleur
heat and power station	centrale à co-génération
heat pump	pompe à chaleur
heat storage	stockage de chaleur
heat supply	fourniture de chaleur
heater	appareil de chauffage
heathen ; infidel ; pagan	infidèle, ; infidèle ; païen
heathland	lande
heating	chauffage
heating plant	centrale de chauffage
heaven ; sky	ciel
heavy	lourd
heavy goods vehicle traffic	transport de marchandises lourdes
heavy metal	métal lourd
heavy metal load	charge en métaux lourds
hedge	haie
hedgehog	hérisson
hedonism	hédonisme
hegemony	hégémonie
helicopter	hélicoptère
helium	hélium
hello ; hey ; hi ; howdy	bonjour ; salut ; allô ; allo
herbicide	herbicide
herbivore ; plant eater	herbivore
here	ici
heroin	héroïne
heron	héron
heterocyclic compound	hétérocycle
hierarchy	hiérarchie
high mountain	haute montagne
high tide water	marée haute
high voltage line	ligne à haute tension
high-rise building	immeuble de grande hauteur
high-speed railway	voie ferrée à grande vitesse
high-speed train	train à grande vitesse ; TGV
higher education	enseignement supérieur
highway	autoroute ; route
hiking trail	sentier de randonnée
historic centre	centre historique
historical evolution	évolution historique
historical monument	monument historique
historical research	recherche historique
historical site	site historique
historiography	historiographie
history	histoire
holiday ; opor-garai	congé ; vacances
holiday camp	camp de vacances
holmium	holmium
home ; home ; house	maison ; domicile
home garden	jardin familial
homeostasis	homéostasie
homepage	page d'accueil
homologation	homologation
homonym	homonyme
honey	miel
hope	espoir ; espérance
horizon	horizon
horse	cheval
horticulture	horticulture
hospital ; clinic	hôpital
hospital waste	déchet hospitalier
hostage	otage
hot water	eau chaude
hotel industry	industrie hôtelière
hour	heure
household	ménage
household chemical	produit chimique ménager
household expenditure	dépense des ménages
household goods	produits ménagers
housing	logement
housing density	densité de l'habitat
housing improvement	amélioration des logements
housing legislation	législation immobilière
housing programme	programme immobilier
housing quality standard	norme de qualité des logements
huckleberry ; blueberry	myrtille
human body	corps humain
human disease	maladie humaine
human ecology	écologie humaine
human habitat	habitat humain
human health	santé humaine
human migration	migration humaine
human physiology	physiologie humaine
human population	population
human rights	droits de l'homme
human science	sciences humaines
human settlement	établissement humain
human settlement management	gestion des établissements humains
human-made disaster	catastrophe anthropogénique
humanitarian aid	aide humanitaire
humus	humus
hundred	cent
hunger ; hunger ; hunger	faim ; faim ; faim
hunting	chasse
hunting licence	permis de chasse
hunting reserve	réserve de chasse
hurricane	cyclone
husband ; spouse	époux ; mari
hybridisation	hybridation
hydraulic construction	construction hydraulique
hydraulic engineering	génie hydraulique
hydraulics	hydraulique
hydrobiology	hydrobiologie
hydrocarbon	hydrocarbure
hydrocarbon storage tank	dépôt d'hydrocarbure
hydrochloric acid ; muriatic acid	acide chlorhydrique
hydroculture	culture hors sol
hydroelectric energy	énergie hydroélectrique
hydroelectric power plant	centrale hydroélectrique
hydrogen	hydrogène
hydrogen sulphide	sulfure d'hydrogène
hydrogeology	hydrogéologie
hydrographic basin	bassin hydrographique
hydrographic network	réseau hydrographique
hydrography	hydrographie
hydrologic balance	bilan hydrologique
hydrologic cycle	cycle de l'eau
hydrologic disaster	catastrophe hydrologique
hydrologic flow	régime hydrologique
hydrology	hydrologie
hydrolysis	hydrolyse
hydrometeorology	hydrométéorologie
hydrometry	hydrométrie
hydrosphere	hydrosphère
hyena	hyène
hygiene	hygiène
hymenopteran	hymenoptère
hypertext	hypertexte
hyponym ; narrower terms ; narrower term	hyponyme ; termes plus restreints
ice	glace
ice cream	glace
ice hockey	hockey sur glace
ice pack	banquise
iceberg	iceberg
ideology	idéologie
illiterate	analphabète
image classification	classification d'image
image enhancement	amélioration de l'image
image filtering	filtrage d'image
image processing digital system	système numérique de traitement d'images
image registration	enregistrement d'images
immission	immission
immission control	contrôle des immisions
immission control law	loi de contrôle des immissions
immission damage	dégât d'immission
immission forecast	prévisions des immissions
immission limit	limitation des immissions
immission load	charge d'immission
immune system	système immunitaire
immunity	immunité
immunoassay	test immunologique
immunological disease	maladie immunologique
immunology	immunologie
impact assessment	évaluation de l'impact
impact minimisation	minimisation de l'impact
impact prevention	prévention de l'impact
impact reversal	inversion de l'impact
impact source	sources d'immission
impactor	impacteur
implementation law	loi de mise en oeuvre
import	importation
import licence	permis d'importation
impoverishment	appauvrissement
impregnating agent	agent d'imprégnation
impregnation	imprégnation
improvement of efficiency	amélioration de l'efficacité
impulsive noise	bruit impulsif
in situ	in situ
in vitro assay	test in vitro
in vivo assay	test in vivo
incentive fund	budget d'encouragement
incentive tax	incitation fiscale
incidental pollution	pollution accidentelle
incineration	incinération
incineration of waste	incinération des déchets
incineration residue	résidu d'incinération
incinerator	incinérateur
income	revenu
income tax	impôt sur le revenu
incorporation	incorporation
indefinite legal concept	notion juridique indéfinie
indemnity	indemnisation
independence	indépendance
index	index
indexing of documentation	indexation de la documentation
indicator	indicateur
indicator of environmental quality	indicateur de la qualité environnementale
indigenous knowledge	connaissances indigènes
indigenous technology	technologie indigène
indirect discharger	inducer indirect
indium	indium
individual	individu
individual wastewater treatment	assainissement autonome
indoor air pollution	pollution atmosphérique intérieure
indoor environment	environnement intérieur
industrial activity	activité industrielle
industrial area	zone industrielle
industrial association	association industrielle
industrial building	bâtiment industriel
industrial crop	culture industrielle
industrial development	développement industriel
industrial dumping	décharge industrielle
industrial economics	économie industrielle
industrial effluent	effluent industriel
industrial emission	émissions industrielles
industrial environment	environnement industriel
industrial environmental policy	politique environnementale industrielle
industrial equipment	équipement industriel
industrial installation	installation industrielle
industrial legislation	législation industrielle
industrial manufacturing	fabrication industrielle
industrial material	matériau industriel
industrial medicine	médecine du travail en industrie
industrial noise	bruit industriel
industrial planning	planning industriel
industrial plant (building) ; industrial plant	établissement industriel (bâtiment) ; établissement industriel
industrial plant (organism) ; industrial plant	matière première végétale
industrial policy	politique industrielle
industrial pollution	pollution industrielle
industrial process	processus industriel
industrial product	produit industriel
industrial production	production industrielle
industrial production statistics	statistiques de la production industrielle
industrial property right	droit de propriété industrielle
industrial safety	sécurité industrielle
industrial site	site industriel
industrial sludge	boue industrielle
industrial society	société industrielle
industrial structure	structure industrielle
industrial waste	déchet industriel
industrial waste gas	effluent gazeux industriel
industrial waste water	eau usée industrielle
industrial wasteland	friche industrielle
industrial zoning	zonage industriel
industrialisation	industrialisation
industry	industrie
inert waste	déchet inerte
inertisation	inertage
infant	nourisson
infant mortality	mortalité infantile
infection	infection
infection	contamination ; infection
infectious disease	maladie infectieuse
infectious disease ; communicable diseases	maladie infectieuse
infestation of crops	infestation des cultures
infestation of food	infestation des aliments
infiltration	infiltration
inflammable substance	substance inflammable
inflation	inflation
inflow	affluent
influenza ; flu	grippe
info ; information	information
informal negotiation	négociation informelle
informatics ; computer science ; information science	informatique
information centre	centre d'information
information clearing-house	bourse d'informations
information exchange	échange d'informations
information infrastructure	infrastructure de l'information
information kit	cahier de documentation
information network	réseau d'information
information processing	traitement de l'information
information service	service d'information
information source	source d'information
information system	système d'information
information technology ; IT	technologie de l'information
information technology industry	industrie informatique
information transfer	transfert de l'information
infraction	infraction
infrared radiation	rayonnement infrarouge
infrasound	infrason
infrastructure	infrastructure
inhabitant	habitant
initial training	formation initiale
injury	blessure
ink	encre
inland fishery	pêche en eau douce
inland navigation	navigation fluviale
inland water	eaux intérieures
inland waterways transport	transport fluvial
innovation	innovation
inorganic chemistry	chimie minérale
inorganic fertiliser	engrais inorganique
inorganic pollutant	polluant inorganique
inorganic substance	substance inorganique
insect	insecte
insecticide	insecticide
insectivore	insectivores
insoluble substance	substance insoluble
inspection	inspection
inspection of records	inspection des registres
inspection service	service d'inspection
installation optimisation	optimisation des installations
installation requiring approval	installation nécessitant une habilitation
installation restoration	réhabilitation du logement
instep	cou-de-pied
institutional activity	vie institutionnelle
institutional structure	structure institutionnelle
institutionalisation	institutionnalisation
instrument ; musical instrument	instrument ; instrument de musique
instrument manufacture	industrie d'appareillage
instrumentation	instrumentation
insulation	isolation
insurance	assurance
insurance business	compagnie d'assurance
insurance coverage	couverture d'assurance
integral natural reserve	réserve naturelle intégrale
integrated environmental protection technology	technologie de protection environnementale intégrée
integrated management	gestion intégrée
integrated pest control	lutte intégrée contre les nuisibles
integrated pollution control	contrôle intégré de la pollution
intensive animal husbandry	élevage intensif
intensive farming	agriculture intensive
inter-library loan	prêt inter-bibliothèques
interaction of pesticides	interaction des pesticides
interchange of electronic data	échange de données informatisées
interdisciplinary research	recherche interdisciplinaire
interest	intérêts
interest group	groupe d'intérêt
interim decision	décision provisoire
interlaboratory comparison	comparaison interlaboratoire
intermediate goods	produits intermédiaires
intermittent noise	bruit intermittent
internal European market	marché intérieur européen
internal migration	migration intérieure
internalisation of external costs	internalisation des coûts externes
international agreement	accord international
international assistance	aide internationale
international balance	équilibre international
international co-operation	coopération internationale
international competitiveness	compétitivité internationale
international conflict	conflit international
international convention	convention internationale
international distribution	distribution internationale
international division of labour	division internationale du travail
international economic law	droit international économique
international environmental relations	relations internationales pour l'environnement
international harmonisation	harmonisation internationale
international law	droit international
international organisation	organisation internationale
international politics	politique internationale
international relations	relation internationale
international safety	sécurité internationale
international standardisation	normalisation internationale
international trade	commerce international
international transaction	comparaison internationale
international watercourse	cours d'eau international
internationally important ecosystem	écosystème d'importance internationale
internet search service	service de recherche sur Internet
internet service provider ; ISP ; Internet access provider ; Internet service provider	fournisseur de services internet ; fournisseur d'accès Internet ; fournisseur d'accès ; FAI
interpolation	interpolation
interpretation method	méthode d'interprétation
interpreter	interprète
intertidal zone	zone intertidale
intervention fund	fonds d'intervention
intervention in nature and landscape	intervention au niveau de la nature et des paysages
intervention on land	intervention sur les terres
intoxication	intoxication
introduction of animal species	introduction d'espèces animales
introduction of plant species	introduction d'espèces végétales
inventory	inventaire (environnement)
inventory of forest damage	inventaire des dégâts forestiers
inversion	inversion
inversion layer	couche d'inversion
invertebrate	invertébré
investment	investissement
iodine	iode
ion	ion
ion exchange	échange d'ions
ion exchanger	échangeur d'ions
ionising radiation	rayonnement ionisant
ionosphere	ionosphère
iridium	iridium
iron	fer
iron and steel industry	industrie sidérurgique
iron industry	industrie sidérurgique
iron scrap	ferraille
ironwork industry	industrie sidérurgique
irradiation	irradiation
irreversibility of the phenomenon	irréversibilité du phénomène
irrigation	irrigation
irrigation farming	culture irriguée
irrigation system	réseau d'irrigation
island ; isle	île ; ile
island ecosystem	écosystème insulaire
isomer	isomère
isotope	isotope
ivory	ivoire
jackal	chacal
jade	jade
jaguar	jaguar
jazz	jazz
joint ; articulation	articulation
joint debtor	débiteur commun
joint implementation	mise en application commune
journal ; mag ; magazine ; periodical	périodique ; revue
journalism	journalisme
journalist	reporter
judgement (sentence) ; sentence ; judgement	arrêt ; arrêt de justice
judicial assistance	entraide judiciaire
judicial body	organe judiciaire
judicial system	organisation judiciaire
judiciary rule	règlement judiciaire
judo	judo
juridical act	acte juridique
jurisdiction	juridiction
jurisprudence	jurisprudence
justice	justice
karate	karaté
karst	karst
kerosene	kérosène
kettle	bouilloire ; bouilloire ; marmite ; bouillotte
keyboard	clavier
kidney	rein
kilogram	kilogramme
kleptomania	kleptomanie
knife	couteau
knight ; knight	cavalier
kokosnoot ; coconut	noix de coco
krypton	krypton
labelling	étiquetage
laboratory	laboratoire
laboratory experiment	expérience de laboratoire
laboratory research	recherche en laboratoire
laboratory technique ; laboratory techniques	technique de laboratoire
laboratory test	test de laboratoire
laboratory waste	déchet de laboratoire
labour	travail
labour force	main-d'oeuvre
labour law	droit du travail
labour market	marché du travail
labour relations	fonctionnement du  monde du travail
lacquer	laque
lagoon	lagune
lagooning	lagunage
lake	lac
lake basin	bassin lacustre
lake pollution	pollution de lac
lamp ; light	lampe
land	territoire
land allotment	allocation de terrain pour cultivation
land clearing	défrichement
land conservation	protection des terres
land consolidation	remembrement
land cover	couverture spatiale (SIG)
land development	développement du territoire
land disposal	décharge
land ecology	écologie des terres
land forming	remodelage de terrain
land mammal	mammifère terrestre
land management and planning	aménagement du territoire
land occupation	occupation du sol
land planning	aménagement du territoire
land pollution	pollution du sol
land reclamation	mise en valeur des terres
land register	cadastre
land restoration	restauration de terrain
land restoration in mountain areas	restauration de terrain en montagne
land setup	aménagement du territoire
land tax	taxe foncière
land transportation	transport terrestre
land use	affectation des sols
land use classification	classification de l'usage des sols
land use plan	plan d'occupation des sols
land use planning	aménagement du territoire
land use regime	régime foncier
land value	valeur de la terre
land-based activity	activité terrestre
land-based marine pollution	pollution tellurique
land-management intervention area	zone d'intervention foncière
landfill	décharge
landfill base sealing	étanchéité de base de décharge
landfill covering	couche de couverture (décharge)
landfill degasification	dégazage de décharge
landfill gas	gaz de décharge
landfill leachate	lixiviat de décharge
landform	relief
landscape	paysage
landscape after mining	paysage minier
landscape alteration	modification du paysage
landscape architecture	aménagement du paysage
landscape component	élément du paysage
landscape conservation	protection du paysage
landscape conservation policy	politique de préservation des paysages
landscape consumption	consommation du paysage
landscape ecology	écologie du paysage
landscape management	gestion du paysage
landscape planning	aménagement du paysage
landscape protection	protection du paysage
landscape protection area	zone de protection du paysage
landscape utilisation	utilisation du paysage
landslide	éboulement
language	langue
lantern	lanterne
lanthanum	lLanthane ; lanthane
large combustion plant	grande installation de combustion
laser ; Light Amplification by Stimulated Emission of Radiation	laser
latitude	latitude
laugh	rire
laundering	blanchissage
lavender ; lavander	lavande
law	loi
law	droit
law ; law (science)	droit ; droit (science)
law amendment	amendement de loi
law branch	branches du droit
law draft	projet de loi
law enforcement	application de loi
law relating to prisons	droit pénitentiaire
lawrencium	lawrencium
lawyer	avocat
leaching	lixiviation
lead	plomb ; saturne
lead compound	composé de plomb
lead level in blood	taux de plomb dans le sang
lead-in-petrol law	loi sur l'essence chargée en plomb
leaf	feuille
leakage	fuite
leap year	année bissextile
learn	apprendre
lease	bail
leather	cuir
leather industry	industrie du cuir
leg	jambe
legal basis	base légale
legal form of organisations	forme juridique de l'entreprise
legal procedure	procédure judiciaire
legal profession	profession judiciaire
legal regulation	réglementation juridique
legal remedy	recours judiciaire
legal system	système judiciaire
legal text	texte juridique
legally protected right	droit légal
legislation	législation
legislation on pollution	législation en matière de pollution
legislative authority	autorité législative
legislative competence	compétence législative
legislative information	information législative
legislative procedure	procédure législative
legislature	corps législatif
leisure activity	loisirs
leisure centre	base de loisirs
leisure time	temps libre
lemon	citron
lentil	lentille
leopard	léopard
lepidopteran	lépidoptère
less developed country	pays moins avancé
lethargy ; sluggishness ; languor	View lemma information ; léthargie
letter	caractère ; lettre
lettuce	salade ; laitue
leukaemia	leucémie
level of education	niveau d'études
levy	impôt
lexicon	lexique
liability	responsabilité
liability legislation	législation en matière de responsabilité
liberalism	libéralisme
librarian	bibliothécaire
library	bibliothèque
library service	service de bibliothèque
licencing procedure	procédure pour l'obtention d'un permis
lichen	lichen
life cycle	cycle de la vie
life science	sciences de la vie
life-cycle management	gestion du recyclage
lifeguard	maître nageur
lifestyle	mode de vie
light	lumière
lighting	éclairage
lignite	lignite
lignite mining	mine de lignite
lime	chaux
limestone	calcaire
limit value	valeur limite
limnology	limnologie
line	ligne
line source	source linéaire (de pollution)
linear source of sound	source linéaire de son
liner material	revêtement d'étanchéité
linguistics	linguistique
lion	lion
lip	lèvre
lipid	lipide
lipophilic substance	substance lipophile
lipstick	rouge à lèvres
liquefied gas	gaz liquéfié
liquid	liquide
liquid manure	purin
liquid state	état liquide
liquid waste	déchet liquide
literature	littérature
literature data bank	banque de données bibliographiques
literature evaluation	critique littéraire
literature study	recherche bibliographique
lithium	lithium
lithography	lithographie
lithosphere	lithosphère
litigation	contentieux
litter	litière
little finger ; pinkie	auriculaire ; petit doigt
littoral	littoral
liver	foie
livestock	cheptel sur pied
livestock breeding	élevage de bétail
livestock farming	élevage de bétail
living condition	condition de vie
living environment	cadre de vie
living space	espace vital
living standard	niveau de vie
lizard	lézard
load bearing capacity	tolérance de charge (eau)
local afforestation	reboisement
local authority	municipalité
local development	développement local
local finance	finances locales
local government	collectivité locale
local government policy	politique des administrations locales
local heat supply	fourniture locale de chaleur
local passenger service	trafic voyageurs à courte distance
local recreation	loisirs locaux
local resource utilisation	utilisation des ressources locales
local traffic	trafic local
location of industries	site industriel
locomotive	locomotive
locust	locuste
lodging	hébergement
logic	logique
long	grand
long-distance traffic	trafic à grande distance
long-distance transport	transport long courrier
long-term effect	effet à long terme
long-term experiment	expérience sur le long terme
longitude	longitude
lorry	camion
loss	perte
loss of biotope	perte de biotope
lottery	loterie
loudness	sonorité
love	amour
love	aimer
low flow	étiage
low-cost housing	habitation à loyer modéré ; HLM
low-level flight	vol à basse altitude
low-level technology	technologie de base
lubricant	lubrifiant
lumberjack	bûcheron
luminosity	luminosité
lunch ; lunch ; lunch ; lunch ; luncheon	déjeuner ; déjeuner ; déjeuner ; déjeuner ; repas du midi
lung	poumon
lutetium	lutétium
lux	lux
lye	lessive
lymphatic system	système lymphatique
lysimetry	lysimétrie
machine gun	mitrailleuse
machine manufacture	industrie mécanique
machinery ; mechanism	machine ; machinerie
mackerel	maquereau
macroeconomic goal	objectif macroéconomique
macroeconomics	macro-économie
macrophyte	macrophyte
macroscopic	macroscopique
magnesium	magnésium
magnetic tape	bande magnétique
magnetism	magnétisme
maintenance (technical) ; maintenance	maintenance
maintenance of environment	maintenance de l'environnement
major accident	accident majeur
major risk	risque majeur
major risk installation	installation à haut risque
malaria	paludisme ; malaria
male ; man	bonhomme ; gars ; homme ; mec ; type
malformation	malformation
malnutrition	malnutrition
mammal	mammifère
man	homme
man-made climate change	changement climatique induit  par l'action humaine
management	gestion
management accounting	gestion comptable
management contract	contrat de gestion
management of natural resources	gestion des ressources naturelles
management plan	plan de gestion
management technique	technique de gestion
mandarin ; Mandarin ; Standard Mandarin	mandarin
mandate	mandat
manganese	manganèse
mango	mangue
mangrove	mangrove
manpower	main-d'oeuvre
manufacturing activity	activité de production
manufacturing trade	secteur des produits manufacturés
manure	fumier
manure production	production de purin
map	carte
map chart	cartogramme
mapping	cartographie
mapping of lichens	cartographie de lichens
maquis	maquis
marble	marbre
mare	jument
marginal land	terres marginales
mariculture	mariculture
marina	port de plaisance
marine biology	biologie marine
marine ecology	écologie marine
marine ecosystem	écosystème marin
marine engineering	génie marin
marine environment	milieu marin
marine fauna	faune marine
marine fishery	pêche maritime
marine geology	géologie marine
marine mammal	mammifère marin
marine monitoring	surveillance du milieu marin
marine organism	organisme marin
marine park	parc marin
marine pollution	pollution de la mer
marine reserve	réserve marine
marital status	situation de famille
maritime law	droit maritime
maritime navigation	navigation maritime
maritime transport	transport maritime
marker	marqueur
market ; marketplace	marché
market economy	économie de marché
market form	forme de marché
market gardening	culture maraîchère
market price	prix de marché
market research	étude de marché
market study	étude de marché
marketing	marketing
marsh	marais ; marécage
marsupial	marsupiaux
mason ; bricklayer ; stonemason	maçon ; briqueteur
masonry	maçonnerie
mass	masse
mass media	mass media
mass recreation	loisir de masse
mass transport	transport de masse
material ; materials	matériau ; matériaux
material life cycle	cycle de vie des matériaux
materials science	sciences des matériaux
mathematical analysis	analyse mathématique
mathematical method	méthode mathématique
mathematics	mathématiques
mausoleum	mausolée
