# English-German dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:37+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neun
broccoli	Broccoli
bromine	Brom
brooding	Brüten
brook	Bach
brushwood	Unterholz
bryophyte	Bryophyten
bubble policy (emissions trading) ; bubble policy	Glockenpolitik
budget	Budget
budget policy	Haushaltspolitik
bug ; põrnikas	Wanze
building	Gebäude
building area	Baugebiet
building component	Bauelemente
building destruction	Gebäudezerstörung
building industry	Bauwirtschaft ; Bauindustrie
building land	Bauland
building material	Baustoff
building materials industry	Baustoffindustrie
building permit	Baugenehmigung
building planning	Bauleitplanung
building regulation	Bauvorschrift
building related illness ; sick building syndrome	Sick-Building-Syndrom
building restoration	Gebäuderestaurierung
building service	Gebäudeausrüstung
building site	Baustelle
building site preparation	Baulanderschließung ; Erschließung
building technology	Bautechnik
building waste	Bauschutt
built drainage system	künstliches Entwässerungssystem
built environment	gebaute Umwelt
built structure	Bauwerk
built-up area	bebaute Fläche
bulb cultivation	Blumenzwiebelkultur
bulky waste	Sperrmüll
bull	Bulle ; Stier
bullet	Kugel
bumblebee	Hummel
bureaucracy	Bürokratie
bureaucratisation	Bürokratisierung
bus ; coach	Anrufsammeltaxe ; Anrufsammeltaxi ; AST ; Ausflugsbus ; Autobus ; Bahnbus ; Bus ; Dieselbus ; Doppeldeckerbus ; Doppelstockbus ; E-Bus ; Ebus ; Elektrobus ; Fernbus ; Flughafenbus ; Gelenkbus ; Hybridbus ; Kleinbus ; Linienbus ; Minibus ; Nahverkehrsbus ; Niederflurbus ; O-Bus ; Oberleitungsbus ; Obus ; Omnibus ; Personenbus ; Postbus ; Pullmann-Bus ; Reisebus ; Rundfahrtbus ; Sammeltaxe ; Sammeltaxi ; Schnellbus ; Schulbus ; Stadtbus ; Trolleybus ; Überlandbus ; Verkehrsbus
bus station	Busbahnhof
bush clearing	Buschlichtung
business	Kommerzielle Aktivität ; Unternehmen ; Geschäft
business activity	Geschäftsgebaren
business classification	Unternehmensarten
business economics	Betriebswirtschaft
business organisation	Unternehmensorganisation
business policy	Unternehmenspolitik
butcher	Fleischer ; Metzger
butter	Butter
butterfly	Schmetterling
button ; clit ; clitoris	Klitoris ; Clitoris ; Kitzler
button-cell battery	Knopfzelle
buy ; purchase	erstehen ; kaufen
buy ; purchase	Kauf
by-catch	Beifang
by-product	Nebenprodukt
cable	Kabel
cactus	Kaktus
cadmium	Cadmium
caesium	Cäsium ; Caesium
caffeine	koffein ; Koffein ; Coffein ; Thein ; Tein
calcium	Calcium ; Kalzium
calcium content	Calciumgehalt
calculation	Berechnung
calculation method	Berechnungsverfahren
calendar	Kalender
caliber	Kaliber
calibration	Kalibrierung
californium	Californium
calligraphy	Kalligraphie
camel	Kamel
camera	Photo ; Foto ; Kamera ; Fotoapparat ; Photoapparat ; Fotokamera ; Photokamera
camouflage	Tarnung
camp ; military camp ; army camp ; campsite	Lager ; Armeelager
camping ; camping ground	Camping ; Campingplatz ; Zeltplatz
camping site	Campingplatz
canal	Kanal
canal lock	Kanalschleuse ; Schleuse
cancer	Krebskrankheit
cancer risk	Krebsrisiko
candle	Kerze
canid	Canidae ; Hunde
canyon	Schlucht
capital	Hauptstadt ; Kapitale
car ; automobile	Auto ; Automobil ; Wagen
car park	Parkplatz
car tyre	Autoreifen
carbohydrate	Kohlenhydrat
carbon	Kohlenstoff
carbon dioxide	Kohlendioxid ; Kohlenstoffdioxid
carbon dioxide tax	CO2-Abgabe
carbon monoxide	Kohlenmonoxid
carbonate	Carbonat
carcass disposal	Tierkörperbeseitigung
carcinogen	kanzerogener Stoff ; Karzinogen
carcinogenicity	Kanzerogenität
carcinogenicity test	Kanzerogenitätsprüfung
cardinal	Kardinal
cardiology	Kardiologie
cardiovascular disease	Kreislauferkrankung
cardiovascular system	Herzkreislaufsystem
career	Karriere ; Laufbahn
carnivore	Fleischfresser ; Tierfresser ; Raubtier
carpet	Teppich
carry-over effect	Carry-over
cartography	Kartographie
case ; lawsuit ; trial	Prozeß ; Prozess
cash crop	Nutzpflanze
castle	Schloß ; Burg ; Festung ; Festung
cat	Katze
catalysis	Katalyse
catalyst	Katalysator
catalytic converter	Abgaskatalysator
catapult	Katapult
catastrophe	Katastrophe
catch yield	Fangertrag
catchment	Auffangbecken
catchment area	Gewässereinzugsgebiet ; Einzugsgebiet
category	Kategorie
category of endangered species	Kategorie der bedrohten Arten
cation	Kationen ; Kation
cattle	Rinder
cauliflower	Blumenkohl ; Karfiol g ; Karfiol ; Käsekohl ; Blütenkohl ; Traubenkohl ; Italienischer Kohl
cause-effect relation	Kausalzusammenhang
cave	Höhle
caviar	Kaviar
celery	Sellerie
celibacy	Zölibat
cell ; cell	Zelle ; Zelle
cell ; electrochemical cell ; energy cell ; Galvanic cell ; στοιχείο	Batteriezelle ; galvanische Zelle ; galvanisches Element
cellulose	Cellulose ; Zellulose
cellulose industry	Zellstoffindustrie
cement	Zement
cement industry	Zementindustrie
cement manufacture	Zementherstellung
census survey	Volkszählung
central government	Zentralregierung
central park area	zentraler Parkbereich
centralisation	Zentralisierung
centrifugation	Zentrifugation
cephalopod	Kopffüßer
ceramics	Keramik
ceramics industry	Keramikindustrie
cerium	Cer
certification	Zertifizierung
cetacean	Cetacea
chair	Sessel ; Stuhl
chalk	Kreide
champagne	Champagner
change in value	Wertewandel
channelling	Kanalisierung
chaos theory	Chaosforschung
chapter	Kapitel
characteristic	Merkmal ; Zug
charcoal	Holzkohle
chart	Charta
chart ; nautical chart	Seekarte
cheers ; thank you ; thanks	danke
cheese	Käse
cheetah ; chetah	Gepard
chelicerate	Kieferfühler
chemical	Chemikalien ; Chemikalie
chemical addition	Addition
chemical analysis	chemische Analyse
chemical composition	chemische Zusammensetzung
chemical contamination	chemische Verunreinigung
chemical corrosivity	chemische Korrosivität
chemical decontamination	chemische Dekontamination
chemical element ; element	chemisches Element ; Element
chemical fallout	Fallout (Chemikalien) ; chemischer Fallout
chemical fertiliser	chemischer Dünger
chemical in the environment	Umweltchemikalien
chemical industry	chemische Industrie
chemical installation	Chemieanlage
chemical measurement of pollution	chemische Verunreinigungsmessung
chemical oxygen demand	chemischer Sauerstoffbedarf
chemical pest control	chemische Schädlingsbekämpfung
chemical plant	Chemiewerk
chemical policy	Chemiepolitik
chemical pollutant	chemischer Schadstoff
chemical pollution	Verunreinigung durch Chemikalien
chemical process	chemischer Vorgang
chemical product	chemisches Produkt
chemical property	chemische Kenngröße ; chemische Eigenschaft
chemical reaction	chemische Reaktion
chemical reduction	Reduktion
chemical risk	Chemierisiko
chemical structure	chemische Struktur
chemical treatment	chemische Aufbereitung
chemical waste	Chemikalienabfall
chemical weapon	chemische Waffen
chemicals act	Chemikaliengesetz
chemisorption	Chemisorption
chemist ; pharmacist	Apotheker
chemist's ; chemist's shop ; pharmacy	Apotheke
chemistry	Chemie
cherry	Kirsche
chess	Schach ; Schach ; Schachspiel
chestnut	Kastanie
chicken	Huhn
child	Kind
chimney	Schornstein
chimney height	Schornsteinhöhe
chimpanzee	Schimpanse
chipmunk	Streifenhörnchen ; Backenhörnchen ; Chipmunk
chiropteran	Flattertiere
chloride	Chlorid
chlorinated hydrocarbon	Chlorkohlenwasserstoff
chlorination	Chlorung
chlorine	Chlor
chlorophenol	Chlorphenol
chlorophyll	Blattgrün ; Chlorophyll
chlorosis	Chlorose
chocolate	Schokolade
cholesterol	Cholesterin ; Cholesterol
chordate	Chordatier
chorology	Chorologie
chromatographic analysis	chromatographische Analyse
chromatography	Chromatografie
chromium	Chrom
chromosome	Chromosom
chrysophyta	Chrysophyten
church	Kirche
cigar	Zigarre
cigarette	Zigarette
cinematographic film	Kinofilm
circular mail	Rundschreiben
citizen	Bürger ; Staatsangehöriger ; Staatsbürger
citizen awareness	Bürgerbewußtstein
citizen initiative	Bürgerinitiative
citizen rights	Bürgerrechte
city	Großstadt ; Stadt
city centre	Innenstadt ; Stadtzentrum ; City
civil air traffic	Zivilluftverkehr
civil engineering	Bautechnik
civil law	Zivilrecht
civil safety	Öffentliche Sicherheit
civilian protection	Zivilschutz
claim for restitution	Erstattungsanspruch
clarinet	Klarinette
classification	Klassifikation
clay	Lehm
clean air area	Reinluftgebiet
clean air car	umweltfreundliches Auto
clean technology	saubere Technologie
cleaning up	Sanierung
cleanliness	Reinlichkeit ; Sauberkeit
cleansing department	Stadtreinigung
clearing sludge	Schlammbeseitigung
cliff	Klippe
climate	Klima
climate protection	Klimaschutz
climate resource	Klimaressourcen
climate type	Klimatyp
climatic alteration	Klimaentwicklung
climatic change ; climate change	Klimaänderung ; Klimaveränderung ; Klimawandel
climatic effect	Klimawirkung
climatic experiment	Klimaexperiment
climatic zone	Klimazone
climatology	Klimatologie
climax	Klimax
climbing plant (wall) ; climbing plant	Mauervegetation
clinical symptom	Krankheitsbild
cloning	Klonen
closing down	Stillegung
closing down of firm	Betriebsschliessung ; Betriebsschließung
clothing ; apparel	Bekleidung
clothing industry	Bekleidungsindustrie
cloud	Wolke
co-incineration	Mitverbrennung
co-operation	Kooperation ; Zusammenarbeit
co-operation policy	Kooperationspolitik
co-operation principle	Kooperationsprinzip
co-ordinate system	Koordinatensystem
co-ordination	Koordinierung
coagulation	Koagulation
coal	Kohle
coal industry	Kohlenindustrie
coal liquefaction	Kohleverflüssigung
coal mining	Kohlebergbau
coal refining	Kohleveredelung
coal technology	Kohletechnologie
coal-based energy	Energie auf Kohlebasis
coal-fired power plant	Kohlekraftwerk
coast	Küste ; Ufer
coast protection	Küstenschutz
coastal area	Küstengebiet
coastal development	Küstenentwicklung
coastal ecosystem	Küstenökosystem
coastal environment	Küstenregion
coastal fishing	Küstenfischerei
coastal pollution	Küstenverschmutzung
coastal water	Küstengewässer
coastal zone planning	Küstengebietsplanung
coastguard	Küstenwacht
coating	Beschichtung ; Verschalung
cobalt	Kobalt ; Cobalt
cobweb	Spinnennetz
cocaine	Kokain ; Cocain
cockroach	Schabe ; Kakerlake
code	Gesetzbuch
code of practice	Regel der Technik
codification	Kodifizierung
coelenterate	Hohltier
coffee	Kaffee
cogeneration	Kraft-Wärme-Kopplung
coin ; money	Geldstück ; Hartgeld ; Kleingeld ; Klimpergeld ; Kohle ; Moneten ; Münze ; Münzgeld ; Zahlungsmittel ; Geldmünze
coke	Koks
cold	Kälte
coliform bacterium	Kolibakterien
colina ; hill ; loma	Hügel
collective wastewater treatment	Sammelabwasserbehandlung
colloid	Kolloid
colloidal state	kolloidaler Zustand
colonisation	Besiedelung ; Besiedlung
colony	Kolonie
colour ; colour ; colo(u)r	Farbe ; Farbe ; Farbe
colour composition	Farbzusammensetzung
colourimetry	Kolorimetrie
colubrid	Colubridae
combination effect	Kombinationswirkung
combined cycle-power station	Kombikraftwerk
combined sewer system	Mischkanalisation
combined transport	Kombiverkehr
combined waste water	Mischwasser
combustibility	Brennbarkeit
combustion engine	Verbrennungsmotor
combustion gas	Verbrennungsabgas
combustion residue	Verbrennungsrückstand
come	kommen
comet	Komet
commercial fishery	Handelsfischerei
commercial law	Handelsrecht
commercial noise	Handelslärm
commercial traffic	Handelsverkehr
commercial transaction	Handelsgeschäft
commercial vehicle	Nutzfahrzeug
commercialisation	Kommerzialisierung
common agreement	gemeinsame Regeln
common agricultural policy ; common agricultural policy of the EU	Gemeinsame Agrarpolitik ; Gemeinsame Agrarpolitik der EU
common commercial policy	Gemeinsame Handelspolitik
common tariff policy	Gemeinsame Zolltarifpolitik
communications	Kommunikation
communications industry	Kommunikationsindustrie
communications policy	Kommunikationspolitik
communications system	Kommunikationssystem
communism	Kommunismus
community facility ; public facility	Gemeinschaftseinrichtung
community-pays principle	Gemeinlastprinzip
commuter traffic	Pendelverkehr
compaction	Verdichtung
company policy	Unternehmenspolitik
company structure	Unternehmensstruktur
comparative law	Rechtsvergleichung
comparative test	Vergleichsuntersuchung
comparison	Vergleiche ; Vergleich
compensation	Entschädigung
compensation for damage	Schadensausgleich
compensatory measure	ökologische Ausgleichsmaßnahme
compensatory tax	Ausgleichsabgabe
competition	biologische Konkurrenz
competition law	Wettbewerbsrecht
competitive examination	Leistungsprüfung
competitiveness	Wettbewerbsfähigkeit
complex formation	Komplexbildung
complexing agent	Komplexbildner
composite pollution	Mehrkomponentenverunreinigung
composition of population	Bevölkerungsaufbau
compost	Kompost
compostable waste	kompostierbarer Abfall
composting	Kompostierung
composting by producer	Eigenkompostierung
compound ; chemical compound	Verbindung ; chemische Verbindung
compression	Kompression
compressor	Kompressor
computer	Computer ; Rechner
concentration	Konzentration
concentration	Konzentrierung
concept of environment	Umweltkonzept
concession	Konzession
concrete	Beton
concrete products industry	Betonsteinindustrie
condensation (process) ; condensation	Kondensation
condom ; prophylactic ; rubber ; safe ; safety	Gummi ; Kondom ; Präservativ ; Pariser
conductivity ; electrical conductivity	Leitfähigkeit ; elektrische Leitfähigkeit
conference	Tagung ; Konferenz
conflict	Konflikt
conflict of aims	Zielkonflikt
conflict of interests	Interessenkonflikt
conflicting use	Nutzungskonflikt
congress	Tagung
conifer	Nadelbaum
coniferous forest	Nadelwald
coniferous tree	Nadelbaum
conservation	Konservierung
conservation of monuments	Denkmalerhaltung
conservation policy	Naturschutzpolitik
consideration	Überlegung
consonant	Konsonant ; Mittöner ; Mitlaut
constellation	Sternbild
constitution	Verfassung
constitutional law	Verfassungsrecht
constructed language ; artificial language	konstruierte Sprache ; künstliche Sprachen ; künstliche Sprache
construction equipment	Baumaschine
construction noise	Baulärm
construction policy	Baupolitik
construction technology	Bautechnik
construction with recycled material	Recyclinggerechte Konstruktion
construction work	Bauarbeit
consultancy	Beratungsdienst
consultation	Beratung
consume ; eat ; swallow	essen ; futtern ; speisen ; verschlingen
consumer behaviour	Konsumverhalten
consumer goods	Konsumgüter
consumer group	Verbrauchergruppe
consumer information	Verbraucherinformation
consumer product	Konsumprodukt
consumer protection	Verbraucherschutz
consumer waste	Verbraucherrückstände
consumption	Konsum
consumption pattern	Verbrauchsmuster
container	Behälter
containment (nuclear industry) ; containment	Abschirmung ; Containment ; Mantel ; Reaktormantel
contaminated soil	verunreinigter Boden
contamination	Verseuchung
continent	Kontinent
continental climate	Kontinentalklima
continental shelf	Festlandsockel ; Kontinentalschelf ; Kontinentalsockel ; Schelf
continuing education	Weiterbildung
continuous load	Dauerbelastung
contour farming	Höhenlinienanbau
contract	Kontrakt ; Vertrag
control measure	Kontrollmassnahme
controlled burning	kontrolliertes Abbrennen
controlled hunting zone	kontrolliertes Jagdgebiet
controlling authority	Aufsichtsbehörde
conurbation	Ballungsgebiet
convention	Konvention
conventional energy	herkömmliche Energie
cooling	Kühlung
cooling oil	Kühlschmierstoff
cooling tower	Kühlturm
cooling water	Kühlwasser
copper	Kupfer
coppice	Niederwald
coppice with standards	Mittelwald
coral	Korallen
coral reef	Korallenriff
coral reef lagoon	Lagune innerhalb von Korallenriffen
core meltdown	Kernschmelze
cork	Kork
corridor	Korridor
corrosion	Korrosion
corrosion inhibitor	Korrosionshemmer
corruption	Korruption
cosmetic industry	Kosmetikindustrie
cosmic radiation	kosmische Strahlung
cosmology	Kosmologie
cost	Kosten
cost increase	Kostensteigerung
cost reduction	Kostensenkung
cost-benefit	Kosten-Nutzen
cost-benefit analysis	Kosten-Nutzen-Analyse
cotton	Baumwolle
country ; nation ; state	Staat
country lodge	Landhaus
county	Landkreis
court	Gericht
court of justice	Gerichtshof
cove	Einbuchtung
covering ; roofing	Abdeckung ; Deckung
cow	Kuh
craft ; arts and crafts	Handwerk
creativity ; inventiveness	Kreativität ; Schaffenskraft ; Erfindungsreichtum ; Genie
credit	Kredit
credit assistance	Kredithilfe
credit policy	Kreditpolitik
creek	Bach
crime	Verbrechen
criminal law	Strafrecht
criminal law procedure	Strafprozess ; Strafprozessordnung ; Strafprozessrecht ; Strafprozessrecht
criminal liability	strafrechtliche Verantwortlichkeit
criminality	Kriminalität
crisis management	Krisenmanagement
critical level	Critical Level
critical load	Critical Load ; kritische Last
crocodile	Krokodil
crop production	Nutzpflanzenproduktion
crop protection	Pflanzenschutz
crop rotation	Fruchtfolge
crop treatment	Pflanzenbehandlung
crossing place	Überquerung
crossing place for animals	Überquerung für Tiere
crossword	Kreuzworträtsel
crucifix	Kruzifix
crude oil	Rohöl
cruising	Kreuzfahrt
crustacean	Krustazeen ; Krustentiere ; Krebse
cryptogam	Kryptogame
crystal	Kristall
crystallisation	Kristallisation
crystallography	Kristallographie
cucumber	Gurke
cultivated plant	Kulturpflanze
cultivation ; tillage	Anbau ; Bebauung
cultivation method	Anbautechnik
cultivation of agricultural land	Nutzung der landwirtschaftlichen Fläche
cultivation system	Anbausystem
cultural development	kulturelle Entwicklung
cultural facility	kulturelle Einrichtung
cultural heritage	Kulturerbe
cultural indicator	kultureller Indikator
cultural policy	Kulturpolitik
culture	Kultur
curium	Curium
currency	Währung
curriculum	Curriculum
customs	Zoll ; Zollerhebung ; Zollgebühren
customs regulation	Zollvorschrift
customs tariff	Zolltarif
cutting	Holzfällung
cutting ; cutting (vegetative propagation)	Steckling
cyanate	Cyanat
cyanide	Cyanid ; Zyanid
cycle path	Radweg
cyclone	Zyklon
cytology	Zytologie
cytotoxicity	Zytotoxizität
dairy farm	Milchviehhaltung
dairy industry	Milchwirtschaft
dairy product	Molkereiprodukt
dam	Damm
dam draining	Dammdrainage
damage	Schaden
damage assessment	Schadensbewertung
damage from military manoeuvres	Manöverschaden
damage insurance	Schadensversicherung
damage prevention	Schadensvermeidung
dance	Tanz
dandelion	Löwenzahn
danger analysis	Gefahrenanalyse
dangerous goods	Gefahrgut
dangerous goods law	Gefahrgutgesetz
dangerous goods regulation	Gefahrgutverordnung
dangerous installation	gefährliche Anlage
dangerous materials transport	Gefahrguttransport
darmstadtium	Darmstadtium
data acquisition	Datensammlung
data analysis	Datenanalyse
data carrier	Datenträger
data centre	Datenzentrum
data exchange	Datenaustausch
data on the state of the environment	Umweltzustandsdaten
data processing	Datenverarbeitung
data processing law	Datenverarbeitungsrecht
data processing system	Datenverarbeitungssystem
data protection	Datenschutz
data recording technique	Datenerfassungsmethode
database	Datenbank
dating	Datierung
daughter	Tochter
day ; daytime	Tag
dazzle	blenden
de-inking	Deinking
deaf	taub ; gehörlos
death penalty ; capital punishment ; death sentence	Todesstrafe
debit	belasten
debt	Schuld
debt service	Kapitaldienst
decay product	Zerfallsprodukt
decentralisation	Dezentralisierung
dechlorination	Dechlorierung
decibel	Dezibel
deciduous forest ; deciduous wood	Laubwald
deciduous tree	Laubbaum ; Laubgehölz
decision	Entscheidung
decision making support	Entscheidungshilfe
decision process	Entscheidungsprozeß ; Entscheidungsprozess
decision-support system	Entscheidungshilfesystem
declaration ; statement	Deklaration
declaration of public utility	Gemeinnützigkeitserklärung
decomposition	Abbau
decontamination	Dekontamination
decree	Verfügung
deep sea	Tiefsee
deep sea fishing	Hochseefischerei
deep sea mining	Tiefseebergbau
deep-sea disposal	Tiefversenkung
deer	Hirsch
defence	Verteidigung
defendant ; accused	Angeklagte ; Beklagte
deflation	Deflation
defoliation	Entlaubung
deforestation	Entwaldung ; Abholzung
degradability	Abbaubarkeit
degradation	Abbau
degradation of natural resources	Abbau natürlicher Ressourcen ; Abbau von natürlichen Ressourcen
degradation of the environment	Umweltzerstörung
degradation product	Abbauprodukt
degreasing	Entfettung
dehydrated sludge	entwässerter Schlamm
delegated management	delegiertes Management
deliver	entbinden ; gebären
delta	Delta ; Flussdelta
demand	Nachfrage
demesnial water	Privatgewässer
democracy	Demokratie
demographic development	demographische Entwicklung
demographic evolution	demographische Entwicklung
demography	Demographie
demolition business	Abbruchunternehmen
demolition waste	Abbruchmüll
demonstrability	Nachweisbarkeit
dendrochronology ; tree-ring dating	Dendrochronologie ; Baumringdatierung ; Jahresringdatierung
dendrometry	Dendrometrie
dengue fever	Dengue-Fieber
denitrification	Denitrifikation
denitrification of waste gas	Abgasentstickung
density	Dichte
dentist	Zahnarzt
dentistry	Zahnmedizin
deposition	Ablagerung
deregulation	Deregulation
dermatology	Dermatologie
desalination	Entsalzung
desalination plant	Entsalzungsanlage
desert	Wüste
desert climate	Wüstenklima
desert locust	Wüstenheuschrecke
desertification	Wüstenausbreitung
desertification control	Wüstenausbreitungskontrolle
design (project) ; design ; project design	Gestaltung ; Entwurf ; Projektentwurf
desk study	Bürostudie
desorption	Desorption
destination of transport	Verkehrsziel
desulphurisation	Entschwefelung
desulphurisation of fuel	Brennstoffentschwefelung
detection	Nachweis ; Ermittlung
detector	Detektor
detergent	Waschmittel
determination method	Bestimmungsmethode
deterrence	Abschreckung
deterrent	Abschreckungsmittel
detoxification	Entgiftung
deuterium	Deuterium
developed country	Industrieland
developing country	Entwicklungsland
development aid	Entwicklungshilfe
development area	Entwicklungsgebiet
development co-operation	Entwicklungszusammenarbeit
development model	Entwicklungsmodell
development pattern	Entwicklungsmuster
development plan	Entwicklungsplan
devolution	Devolution
dialect	Dialekt
dialysis	Dialyse
diarrhea	Durchfall ; Diarrhoe ; Diarrhö
diary	Tagebuch
diatom	Diatomeen
dice ; die ; die ; die	Würfel ; Spielwürfel
dictionary	Lexikon ; Wörterbuch ; Diktionär
didactics	Didaktik
diesel engine	Dieselmotor
diesel fuel ; diesel	Dieselkraftstoff ; Diesel
differentiation	Differenzierung
difficult	schwer ; schwierig ; diffizil ; kniffelig ; knifflig ; verzwickt ; vertrackt ; kompliziert
diffuse pollution	diffuse Verschmutzung
diffuse source	diffuse Quelle
diffusion	Diffusion
digested sludge	Faulschlamm
digester	Faulbehälter
digestion	Verdauung
digestion	Faulung
digital image processing technique	digitale Bildverarbeitung
digital land model	digitales Geländemodell
digitising	Digitalisierung
diluted acid	Dünnsäure
diocese ; diocese	Diözese
dioxin	Dioxin
diplomat	Diplomat
dipteran	Zweiflügler
direct discharger	Direkteinleiter
directive	Richtlinie
disabled person	Behinderter
disaster	Katastrophe
disaster cleanup operation	Katastrophenaufräumung
disaster contingency plan	Katastrophenplan
disaster control service	Katastrophenschutz
disaster preparedness	Katastrophenbereitschaft
disaster prevention	Katastrophenvorbeugung
disaster relief	Katastrophenhilfe
disaster zone	Katastrophengebiet
discharge regime	Abflussregime
discount	Nachlass ; Discount
discrimination	Diskriminierung
disease ; illness ; affliction	Krankheit
disease cause	Krankheitsursache
disinfectant	Desinfektionsmittel
disinfection	Desinfektion
dispatch note	Begleitschein
dispersion	Dispersion
dispersion calculation	Ausbreitungsrechnung
displaced person	Vertriebener
disposal of the dead	Leichenentsorgung
disposal of warfare materials	Kampfmittelentsorgung
dissolution	Auflösen ; Lösung
dissolved organic carbon	gelöster organischer Kohlenstoff
dissolved oxygen	gelöster Sauerstoff
distillation	Destillation
distortion of competition	Wettbewerbsverzerrung
distribution	Verteilung
distribution area	Fläche
distributive trade	Vertrieb
district heating	Fernwärme
district heating plant	Blockheizkraftwerk
disused military site	Rüstungsaltlast
ditch	Graben
division	Division
divorce	Scheidung ; Ehescheidung
do	machen ; tun
doctrine	Doktrin ; Lehrmeinung
document	Dokument
document lending	Dokumentenausleihe
document type	Dokumenttyp
documentary film	Dokumentarfilm
documentary system	Dokumentationssystem
documentation	Dokumentation
documentation centre	Dokumentationszentrum
dog	Hund
doll	Puppe
dolphin	Delphin
domestic appliance	Haushaltsgerät
domestic fuel	Haushaltsbrennstoff
domestic fuel oil	Heizöl (leicht) ; leichtes Heizöl
domestic noise	Hauslärm
domestic pollution	Hausschmutz
domestic trade	Binnenhandel
domestic waste	Haushaltsabfall
domestic waste landfill	Hausmülldeponie
domestic waste water	Haushaltsabwasser
domesticated animal	domestiziertes Tier
donation	Abgabe ; Spende ; Zuwendung
donation	Spende ; Geldspende
donkey ; ass	Esel
door	Tür
dosage	Dosierung
dose	Dosis
dose-effect relationship	Dosis-Wirkung-Beziehung
draft legislation	Gesetzentwurf
dragonfly	Libelle
drainage	Entwässerung
drainage system	Entwässerungsanlage
drainage water	Dränwasser
draining	Entwässern
draught animal	Zugtier
dream	träumen
dredged material	Baggergut
dredging	Baggerarbeit
dress	Kleid
dress ; clothe	kleiden ; ankleiden ; anziehen
drift net fishing	Treibnetzfischerei
drilling	Bohrung
drilling for oil	Ölbohrung
drilling installation	Bohranlage
drink ; gulp ; quaff ; sip	trinken
drinking water	Trinkwasser
drinking water protection area	Trinkwasserschutzgebiet
drinking water supply	Trinkwasserversorgung
drinking water treatment	Trinkwasserbehandlung
dromedary	Dromedar
drought	Dürre
drought control	Dürreschutz
drug	Arzneimittel
drum kit	Schlagzeug
drunk ; drunkard ; boozer	Trinker ; Säufer ; Trunkenbold
dry	trocken
dry cleaning	Chemischreinigung
dry deposition	trockene Deposition
dry farming	Trockenfarmverfahren
dry lawn	Trockenrasen
drying	Trocknung
drying out	Austrocknung
dual economy	Dualwirtschaft
dual waste management	Duale Abfallwirtschaft
dubnium	Dubnium
duck	Ente
dumb	stumm
dumping	Abfallablagerung ; Abfallablagerung ; unkontrollierte Deponierung ; wilde Müllbeseitigung
dune	Düne
durable goods	langlebiges Gebrauchtsgut
duration of sunshine	Sonnenscheindauer
dust	Staub
dust removal	Entstaubung
dwelling	Wohnung
dye	Farbstoff ; Färben
dyke	Deich
dyke reinforcement	Deichverstärkung
dyslexia	Legasthenie
dysprosium	Dyprosium ; Dysprosium
ear	Ohr
early	früh
early warning system	Frühwarnsystem
earth ; Earth ; the world ; Blue Planet	Erde ; der blaue Planet ; die Welt ; Blauer Planet
earth science	Geowissenschaften
earth's crust ; crust ; Earth's crust	Erdkruste
earthquake	Erdbeben
earthworm	Regenwurm
earwig	Ohrwürmer ; Ohrwurm ; Ohrenzwicker
easement	Erleichterung
easy ; piece of cake ; like shooting fish in a barrel	einfach ; leicht
eat	essen
echinoderm	Stachelhäuter
eco-paediatrics	Ökopädiatrie
ecocatastrophe	Umweltkatastrophe
ecodevelopment	Ökoentwicklung
ecolabel	Umweltzeichen
ecolabelling	Umweltkennzeichnung
ecological abundance	ökologischer Reichtum
ecological adaptation	biologische Anpassung
ecological assessment	ökologische Bewertung
ecological balance	ökologisches Gleichgewicht
ecological bookkeeping	Ökologische Buchführung
ecological carrying capacity	Ökologische Belastbarkeit
ecological community	ökologische Gesellschaft
ecological factor	ökologischer Faktor
ecological inequality	ökologische Ungleichheit
ecological niche	ökologische Nische
ecological parameter	Ökologischer Parameter
ecological stocktaking	Ökologische Bestandsaufnahme
ecologically sensitive area	ökologische Vorrangfläche
ecologist movement	Ökologiebewegung
ecology	Ökologie
ecomarketing	Ökomarketing
ecomuseum	Umweltmuseum
economic activity	ökonomische Aktivität
economic analysis	ökonomische Analyse
economic competition	Konkurrenz ; marktwirtschaftlicher Wettbewerb ; Wettbewerb
economic concentration	Konzentration wirtschaftlicher Macht
economic data	ökonomische Daten
economic development	Wirtschaftsentwicklung
economic forecasting	Wirtschaftsprognose
economic geography	Wirtschaftsgeographie
economic growth	Wirtschaftswachstum
economic incentive	ökonomischer Anreiz
economic instrument	ökonomisches Instrument
economic management instrument	ökonomisches Managementinstrument
economic plan	Wirtschaftsplan
economic planning	Wirtschaftsplanung
economic policy	Wirtschaftspolitik
economic region	Wirtschaftsraum
economic rights	wirtschaftliche Rechte
economic science ; economics	Ökonomie ; Wirtschaftswissenschaft ; Ökonomik
economic sector	Wirtschaftssektor
economic situation	ökonomische Situation
economic structure	Wirtschaftsstruktur
economic support	wirtschaftliche Stützung
economic system	Wirtschaftssystem
economic theory	Wirtschaftstheorie
economic trend	Wirtschaftstendenz
economic viability	Wirtschaftlichkeit
economical-ecological efficiency	ökonomisch-ökologische Effizienz
economy	Wirtschaft
ecophysiology	Ökophysiologie
ecosystem	Ökosystem
ecosystem analysis	Ökosystemanalyse
